id,name,nickname,gender,date_of_birth,weight,height,team,team.shortname,team.shield,shirt_number,position,photo,aerial_duels_won,appearances,assists_intentional,attempts_from_set_pieces,blocks,catches,clean_sheets,duels_won,goals,goals_conceded,interceptions,key_passes_attempt_assists,offsides,open_play_passes,penalties_saved,red_cards_2nd_yellow,saves_made,shots_on_target_inc_goals,straight_red_cards,successful_crosses_open_play,successful_dribbles,successful_long_passes,successful_passes_opposition_half,successful_passes_own_half,successful_short_passes,total_clearances,total_fouls_conceded,total_losses_of_possession,total_passes,total_tackles,total_touches_in_opposition_box,unsuccessful_dribbles,unsuccessful_long_passes,unsuccessful_short_passes,yellow_cards,predicted_position,score
1865.0,Ignasi Miquel,I. Miquel,male,1992-09-28T00:00:00+00:00,82.0,188.0,SD Huesca,HUE,https://assets.laliga.com/assets/2019/06/07/medium/huesca.png,23.0,Defender,https://assets.laliga.com/squad/2021/t2894/p90801/512x556/p90801_t2894_2021_1_001_000.png,84.0,34.0,0.0,0.0,28.0,0.0,11.0,152.0,4.0,36.0,47.0,7.0,2.0,1690.0,0.0,1.0,0.0,8.0,0.0,1.0,8.0,167.0,361.0,1089.0,1282.0,155.0,33.0,336.0,1749.0,31.0,34.0,3.0,156.0,144.0,8.0,Midfielder,1633.5
3956.0,Javier Galán Gil,Javi Galan,male,1994-11-19T00:00:00+00:00,70.0,172.0,RC Celta,CEL,https://assets.laliga.com/assets/2019/06/07/medium/celta.png,17.0,Midfielder,https://assets.laliga.com/squad/2021/t176/p219717/512x556/p219717_t176_2021_1_001_000.png,25.0,37.0,3.0,1.0,8.0,0.0,12.0,293.0,0.0,43.0,45.0,20.0,11.0,1596.0,0.0,0.0,0.0,5.0,0.0,30.0,85.0,75.0,666.0,694.0,1255.0,39.0,54.0,643.0,1623.0,108.0,40.0,40.0,100.0,193.0,9.0,Defender,1631.5
571.0,Jorge Resurrección,Koke,male,1992-01-08T00:00:00+00:00,77.0,176.0,Atlético de Madrid,ATM,https://assets.laliga.com/assets/2019/06/07/medium/atletico.png,6.0,Midfielder,https://assets.laliga.com/squad/2021/t175/p77390/512x556/p77390_t175_2021_1_001_000.png,13.0,31.0,2.0,0.0,5.0,0.0,8.0,107.0,1.0,34.0,24.0,24.0,0.0,1689.0,0.0,0.0,0.0,6.0,0.0,3.0,13.0,72.0,814.0,683.0,1420.0,30.0,29.0,329.0,1725.0,55.0,26.0,5.0,59.0,174.0,6.0,Forward,1606.0
1592.0,Mikel Merino,Merino,male,1996-06-22T00:00:00+00:00,83.0,188.0,Real Sociedad,RSO,https://assets.laliga.com/assets/2019/06/07/medium/real-sociedad.png,8.0,Midfielder,https://assets.laliga.com/squad/2021/t188/p195384/512x556/p195384_t188_2021_1_001_000.png,113.0,34.0,1.0,0.0,10.0,0.0,14.0,275.0,3.0,24.0,21.0,29.0,4.0,1701.0,0.0,0.0,0.0,15.0,0.0,7.0,28.0,80.0,742.0,606.0,1261.0,56.0,60.0,540.0,1728.0,71.0,91.0,19.0,78.0,309.0,8.0,Midfielder,1581.0
8535.0,Alejandro Catena,Catena,male,1994-10-28T00:00:00+00:00,82.0,194.0,Rayo Vallecano,RAY,https://assets.laliga.com/assets/2019/06/07/medium/rayo.png,5.0,Defender,https://assets.laliga.com/squad/2021/t184/p244273/512x556/p244273_t184_2021_1_001_000.png,122.0,36.0,1.0,0.0,19.0,0.0,9.0,175.0,2.0,46.0,30.0,5.0,3.0,1618.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,220.0,401.0,990.0,1171.0,165.0,26.0,345.0,1712.0,39.0,42.0,0.0,170.0,151.0,8.0,Midfielder,1577.5
64.0,Luka Modric,Modrić,male,1985-09-09T00:00:00+00:00,66.0,172.0,Real Madrid,RMA,https://assets.laliga.com/assets/2019/06/07/medium/real-madrid.png,10.0,Midfielder,https://assets.laliga.com/squad/2021/t186/p37055/512x556/p37055_t186_2021_1_001_000.png,6.0,28.0,6.0,1.0,4.0,0.0,2.0,88.0,2.0,20.0,20.0,29.0,1.0,1565.0,0.0,0.0,0.0,11.0,0.0,4.0,32.0,106.0,954.0,534.0,1371.0,9.0,24.0,277.0,1639.0,18.0,53.0,16.0,27.0,135.0,5.0,Goalkeeper,1576.5
1042.0,Sergi Darder,S. Darder,male,1993-12-22T00:00:00+00:00,71.0,180.0,RCD Espanyol de Barcelona,ESP,https://assets.laliga.com/assets/2019/06/07/medium/espanyol.png,10.0,Midfielder,https://assets.laliga.com/squad/2021/t177/p169007/512x556/p169007_t177_2021_1_001_000.png,12.0,36.0,8.0,0.0,1.0,0.0,5.0,148.0,3.0,49.0,26.0,28.0,0.0,1591.0,0.0,0.0,0.0,17.0,0.0,8.0,53.0,138.0,823.0,599.0,1271.0,27.0,28.0,403.0,1650.0,45.0,41.0,24.0,82.0,159.0,4.0,Goalkeeper,1566.5
2081.0,Álvaro Lemos,Lemos S.,male,1993-03-30T00:00:00+00:00,77.0,175.0,UD Las Palmas,LPA,https://assets.laliga.com/assets/2019/06/07/medium/las-palmas.png,14.0,Forward,https://assets.laliga.com/squad/2021/t407/p213469/512x556/p213469_t407_2021_1_001_000.png,49.0,38.0,2.0,8.0,4.0,0.0,10.0,208.0,1.0,36.0,46.0,46.0,0.0,1638.0,0.0,0.0,0.0,9.0,0.0,17.0,30.0,62.0,732.0,607.0,1246.0,63.0,51.0,687.0,1712.0,82.0,45.0,23.0,114.0,290.0,10.0,Midfielder,1551.5
13273.0,Alejandro Francés,A. Frances,male,2002-08-01T00:00:00+00:00,,180.0,Real Zaragoza,ZAR,https://assets.laliga.com/assets/2019/06/07/medium/zaragoza.png,6.0,Defender,https://assets.laliga.com/squad/2021/t190/p495126/512x556/p495126_t190_2021_1_001_000.png,57.0,33.0,1.0,0.0,23.0,0.0,9.0,154.0,1.0,36.0,56.0,12.0,0.0,1624.0,0.0,0.0,0.0,9.0,0.0,8.0,12.0,154.0,488.0,879.0,1205.0,114.0,46.0,438.0,1707.0,47.0,43.0,6.0,204.0,144.0,8.0,Midfielder,1547.5
1321.0,José León,León,male,1995-02-03T00:00:00+00:00,82.0,183.0,CD Tenerife,TEN,https://assets.laliga.com/assets/2019/06/07/medium/tenerife.png,4.0,Defender,https://assets.laliga.com/squad/2021/t612/p184998/512x556/p184998_t612_2021_1_001_000.png,57.0,37.0,0.0,0.0,28.0,0.0,11.0,99.0,1.0,31.0,23.0,5.0,1.0,1628.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,184.0,425.0,925.0,1166.0,133.0,14.0,324.0,1657.0,28.0,28.0,0.0,188.0,119.0,2.0,Midfielder,1482.5
